Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1,,Afghanistan,22-01-2020,0,0
2,,Afghanistan,23-01-2020,0,0
3,,Afghanistan,24-01-2020,0,0
4,,Afghanistan,25-01-2020,0,0
5,,Afghanistan,26-01-2020,0,0
6,,Afghanistan,27-01-2020,0,0
7,,Afghanistan,28-01-2020,0,0
8,,Afghanistan,29-01-2020,0,0
9,,Afghanistan,30-01-2020,0,0
10,,Afghanistan,31-01-2020,0,0
11,,Afghanistan,01-02-2020,0,0
12,,Afghanistan,02-02-2020,0,0
13,,Afghanistan,03-02-2020,0,0
14,,Afghanistan,04-02-2020,0,0
15,,Afghanistan,05-02-2020,0,0
16,,Afghanistan,06-02-2020,0,0
17,,Afghanistan,07-02-2020,0,0
18,,Afghanistan,08-02-2020,0,0
19,,Afghanistan,09-02-2020,0,0
20,,Afghanistan,10-02-2020,0,0
21,,Afghanistan,11-02-2020,0,0
22,,Afghanistan,12-02-2020,0,0
23,,Afghanistan,13-02-2020,0,0
24,,Afghanistan,14-02-2020,0,0
25,,Afghanistan,15-02-2020,0,0
26,,Afghanistan,16-02-2020,0,0
27,,Afghanistan,17-02-2020,0,0
28,,Afghanistan,18-02-2020,0,0
29,,Afghanistan,19-02-2020,0,0
30,,Afghanistan,20-02-2020,0,0
31,,Afghanistan,21-02-2020,0,0
32,,Afghanistan,22-02-2020,0,0
33,,Afghanistan,23-02-2020,0,0
34,,Afghanistan,24-02-2020,1,0
35,,Afghanistan,25-02-2020,1,0
36,,Afghanistan,26-02-2020,1,0
37,,Afghanistan,27-02-2020,1,0
38,,Afghanistan,28-02-2020,1,0
39,,Afghanistan,29-02-2020,1,0
40,,Afghanistan,01-03-2020,1,0
41,,Afghanistan,02-03-2020,1,0
42,,Afghanistan,03-03-2020,1,0
43,,Afghanistan,04-03-2020,1,0
44,,Afghanistan,05-03-2020,1,0
45,,Afghanistan,06-03-2020,1,0
46,,Afghanistan,07-03-2020,1,0
47,,Afghanistan,08-03-2020,4,0
48,,Afghanistan,09-03-2020,4,0
49,,Afghanistan,10-03-2020,5,0
50,,Afghanistan,11-03-2020,7,0
51,,Afghanistan,12-03-2020,7,0
52,,Afghanistan,13-03-2020,7,0
53,,Afghanistan,14-03-2020,11,0
54,,Afghanistan,15-03-2020,16,0
55,,Afghanistan,16-03-2020,21,0
56,,Afghanistan,17-03-2020,22,0
57,,Afghanistan,18-03-2020,22,0
58,,Afghanistan,19-03-2020,22,0
59,,Afghanistan,20-03-2020,24,0
60,,Afghanistan,21-03-2020,24,0
